,county,Latitude,Longitude,death_count
347,Currituck,36.2291384,-75.88292740000001,1
348,Curry,34.39513145,-103.19161225,2
349,Custer,39.18247375454546,-102.0073422181818,11
350,Cuyahoga,41.469740142011815,-81.65043709349116,169
351,Dade,37.342547700000004,-93.702428,1
352,Dakota,44.457011173913045,-93.56057131304347,23
353,Dale,31.42831725,-85.63919417000001,10
354,Dallam,36.052799799999995,-102.50222074999999,2
355,Dallas,33.21439657113403,-96.30670082474224,291
356,Dane,43.06798923023256,-89.37039433023256,43
357,Danville City,36.5889368375,-79.3960013375,8
358,Dare,35.9346208,-75.65751850000001,2
359,Darke,40.216699549999994,-84.53484075,2
360,Darlington,34.360247425,-80.005683025,8
361,Dauphin,40.28198537741937,-76.84110409677422,31
362,Davidson,36.096261291176475,-85.50548288823532,68
363,Davie,35.87046289999999,-80.55211340000001,1
364,Daviess,38.01917826,-87.57562580666666,15
365,Davis,40.54952066818182,-109.8221146590909,22
366,Davison,43.7060017,-98.01662515,2
367,Dawes,42.80145665,-103.1650175,2
368,Dawson,39.79456456666667,-95.44371608333334,6
369,De Baca,34.4382063,-104.5947949,1
370,De Soto,33.47897965,-92.01479455,2
371,De Witt,40.14521920000001,-88.9553872,1
372,DeKalb,34.42486497881356,-84.71530337881354,118
373,DeSoto,34.47324647391304,-89.8028081478261,23
374,DeWitt,29.091986699999996,-97.2929621,1
375,Deaf Smith,34.809045700000006,-102.41475290000001,1
376,Dearborn,39.0062245,-84.881283,1
377,Decatur,34.6304999125,-87.26749641250001,8
378,Defiance,41.275546899999995,-84.34807579999999,1
379,Dekalb,33.68438353333334,-84.35293186666667,3
380,Del Norte,41.77354026,-124.17459498000001,5
381,Delaware,39.756314004918025,-79.8515197360656,61
382,Delta,38.705987300000004,-107.86525956666667,3
383,Denali,63.84747410000001,-149.01645180000003,1
384,Dent,37.6515158,-91.33621059999999,2
385,Denton,33.162097603125,-97.06938849687502,32
386,Denver,39.732913874074086,-104.97935752592595,108
387,Des Moines,40.848078120000004,-91.13242452,5
388,Deschutes,44.083136221428575,-121.33022387857143,14
389,Deuel,41.057214650000006,-102.07587165000001,2
