,city,%_change,party,year,value
394,"Sarasota, FL",0.0,red,2009,
395,"Tulsa, OK",49.999999999999986,red,2009,0.5951902674487467
396,"Colorado Springs, CO",66.6666666666667,red,2009,0.32054055959970895
397,"Bakersfield, CA",550.0000000000001,red,2009,1.5669560312137643
398,"Mesa, AZ",300.0,red,2009,0.40290007473796385
399,"Chattanooga, TN",0.0,red,2009,1.227952119690949
400,"Spokane, WA",100.0,red,2009,0.49622496855174264
401,"Pensacola, FL",100.0,red,2009,0.5807200929152149
402,"Corpus Christi, TX",400.0,red,2009,0.5857630295663889
403,"Huntsville, AL",300.0,red,2009,1.6143822082165598
404,"Springfield, MO",100.0,red,2009,0.6963254903872267
405,"St. Petersburg, FL",149.99999999999994,red,2009,1.1395794951662837
406,"Lubbock, TX",199.99999999999997,red,2009,0.38094512485476467
407,"Chandler, AZ",0.0,red,2009,
408,"Killeen, TX",200.00000000000006,red,2009,
409,United States,102.08603018013629,,2009,0.3784575458435062
410,"Los Angeles, CA",-43.75,blue,2010,0.17947052294199003
411,"Chicago, IL",42.85714285714286,blue,2010,0.27662574680307084
412,"Miami, FL",75.0,blue,2010,0.10968406914107658
413,"Dallas, TX",1100.0,blue,2010,0.2965154722645532
414,"Philadelphia, PA",-27.27272727272727,blue,2010,0.2483201144259087
415,"Houston, TX",342.8571428571429,blue,2010,0.4773735933085441
416,"Atlanta, GA",200.00000000000006,blue,2010,0.09562514941429595
417,"Phoenix, AZ",280.0,red,2010,0.29398441735595804
418,"Seattle, WA",50.00000000000002,blue,2010,0.1097765635270112
419,"San Francisco, CA",33.333333333333336,blue,2010,0.0832463640069361
420,"Detroit, MI",-10.000000000000012,blue,2010,0.28391297953612027
421,"San Diego, CA",9.090909090909092,blue,2010,0.18689760565477395
422,"Minneapolis, MN",-16.666666666666675,blue,2010,0.13667004127776922
423,"Tampa, FL",-12.500000000000005,blue,2010,0.0356602858528514
424,"Denver, CO",166.66666666666666,blue,2010,0.2152647074229729
425,"Brooklyn, NY",-77.77777777777777,blue,2010,0.11410531920963049
426,"Queens, NY",33.33333333333334,blue,2010,0.08572454816733775
427,"Baltimore, MD",-19.999999999999993,blue,2010,0.27643349194472805
428,"Riverside, CA",0.0,blue,2010,0.04796740518882609
429,"Las Vegas, NV",750.0000000000002,blue,2010,0.5788586354854814
430,"Portland, OR",-75.00000000000001,blue,2010,0.2922842795874505
431,"Kansas City, MO",85.71428571428572,red,2010,0.309478522500017
432,"Virginia Beach, VA",300.0,red,2010,
433,"Jacksonville, FL",400.0,red,2010,0.6918673586493366
